V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q32,Q33,Q34,camera,no_camera,Q27,Q22_1,Q22_2,Q22_3,Q22_4,Q37,Q26,Q27.0,Q29,Q31,Q33.0,Q39,Q41,Q4,Q6,Q8,Q12,Q22,Q23,Q24,Q38_1,Q38_2,Q38_3,Q38_4,Q40,Q42,Q30,LocationLatitude,LocationLongitude,LocationAccuracy,condition,calorie
R_3h6kZpw1cYAOsyw,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/16 14:12,2015/7/16 14:27,1,1,1,NA,1,NA,1,0,0,181.854,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,21,Yes,Unsure,yes,1,0,0,30.018,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,3
R_1g1t4wSYHIUFS4A,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/16 14:27,2015/7/16 15:15,1,1,NA,1,NA,1,1,0,0,182.62,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,very much,1,Male,19,Yes,Umcomfortability with eating alone,yes,1,0,0,30.017,0,1,"MMS: participant thought there was a hidden camera in the tripod even though it was put away, im not sure why.",0,41.780395507812,-87.60269928,-1,no camera,3.5
R_3DjyV3RSdT3mpFx,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/16 15:15,2015/7/16 15:43,1,1,1,NA,1,NA,1,0,0,237.226,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,a bit,&nbsp;,1,Female,20,Yes,"That people who were told they were being filmed would be more self conscious while eating the fritos, whether they eat less or pay more attention to the nutritional information on the packet.",yes,1,0,0,30.02,0,1,MMS: participant asked if she had to finish the chips,18,41.780395507812,-87.60269928,-1,camera,4
R_1NCS7m1ZZG9qVtp,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/16 15:43,2015/7/17 12:50,1,1,NA,1,NA,1,1,0,0,204.025,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,19,Yes,That the timer affects how people snack,yes,1,0,0,30.024,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,2.5
R_AdrSyDCTOi0dM0F,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 12:50,2015/7/17 13:10,1,1,1,NA,1,NA,1,0,0,184.987,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,25,Yes,Observing how snacking habits effect how quickly one consumes a snack.,no,NA,0,0,30.021,0,1,"fb, didnt come gt me after 3min",0,41.780395507812,-87.60269928,-1,camera,4.5
R_3ipYQY6eDM1Skya,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 13:10,2015/7/17 13:24,1,1,NA,1,NA,1,1,0,0,182.122,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,19,Yes,Whether limiting the amount of time given to consume something matters? Whether the feeling of being observed while eating contributes to consumer preferences?,yes,1,0,0,30.015,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,6
R_2a8hjATLMI64Iq7,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 13:24,2015/7/17 14:00,1,1,NA,1,NA,1,1,0,0,194.794,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,23,Yes,N/a,no,NA,0,0,30.018,0,1,Fb,0,41.780395507812,-87.60269928,-1,no camera,4.5
R_2BqvbdyYSKtugwu,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 14:00,2015/7/17 14:10,1,1,1,NA,1,NA,1,0,0,193.593,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,very much,1,Male,24,Yes,That how people eat reflects how quickly or how much people eat,no,NA,0,0,30.018,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,7
R_3hloN6gPv5PJily,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 14:10,2015/7/17 14:33,1,1,1,NA,1,NA,1,0,0,207.866,0,1,1,&nbsp;,many,&nbsp;,&nbsp;,all,very much,1,Female,18,Yes,People will eat less when feeling observed by the camera.,yes,1,0,0,30.025,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,6
R_ROGDD2hQ3VBATHH,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 14:33,2015/7/17 14:41,1,1,NA,1,NA,1,1,0,0,187.813,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Female,20,Yes,People mindlessly graze more when not being observed.,yes,1,0,0,30.019,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,6.5
R_33dtVPl5TBXylR2,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 14:54,2015/7/17 15:09,1,1,NA,1,NA,1,1,0,0,203.468,0,1,1,&nbsp;,&nbsp;,very much,&nbsp;,all,very much,1,Female,21,Yes,How much you eat when someone tells you to eat a specific amount of food,no,NA,0,0,30.024,0,1,fb,0,41.780395507812,-87.60269928,-1,no camera,6.5
R_3hbtQiC5DSy3gW3,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 15:09,2015/7/17 15:18,1,1,1,NA,1,NA,1,0,0,208.133,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Female,18,Yes,If people read the calories on a bag of chips before blindly eating them.,yes,1,0,0,30.024,0,1,fb,0,41.780395507812,-87.60269928,-1,camera,5
R_81Rj6XKjmdEXxrH,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/17 15:18,2015/7/20 12:51,1,1,NA,1,NA,1,1,0,0,195.543,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,not at all,1,Male,19,Yes,People are less conscious of the food they eat when left unobserved.,no,NA,0,0,30.019,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,3.5
R_2S6IK4JuVIWkQO2,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/20 12:52,2015/7/20 13:13,1,1,NA,1,NA,1,1,0,0,182.299,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,&nbsp;,1,Male,23,Yes,There is a correlation between calorie awareness and food enjoyment,yes,1,0,0,30.024,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,3.5
R_12Lv94qAAEhu1RM,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/20 13:13,2015/7/20 13:59,1,1,1,NA,1,NA,1,0,0,199.471,0,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,all,very much,1,Female,20,Yes,To see if being observed changes the way people feel about eating calories,no,NA,0,0,30.017,0,1,MMS,0,41.780395507812,-87.60269928,-1,camera,5
R_2cqfHxsEwrS6AQ9,Default Response Set,Anonymous,,,128.135.100.111,0,2015/7/20 13:59,2015/7/20 15:09,1,1,NA,1,NA,1,1,0,0,181.763,0,1,1,&nbsp;,&nbsp;,&nbsp;,very much,all,&nbsp;,1,Male,21,Yes,Connection between calories perceived to be in something and how much one enjoys the food,yes,1,0,0,30.024,0,1,MMS,0,41.780395507812,-87.60269928,-1,no camera,4.5
